GO.ID	Term	Annotated	Raw.P.Value
GO:0005887	integral component of plasma membrane	786	9.7e-19
GO:0005886	plasma membrane	3115	2.2e-18
GO:0070062	extracellular exosome	1638	2.5e-17
GO:0016021	integral component of membrane	3170	6.2e-11
GO:0016324	apical plasma membrane	243	7.5e-11
GO:0005615	extracellular space	2123	1.1e-10
GO:0062023	collagen-containing extracellular matrix	228	2.4e-09
GO:0016323	basolateral plasma membrane	155	6.5e-09
GO:0009986	cell surface	467	6.5e-09
GO:0030027	lamellipodium	174	2.6e-06
GO:0005789	endoplasmic reticulum membrane	900	4.2e-06
GO:0005737	cytoplasm	8976	4.9e-06
GO:0048471	perinuclear region of cytoplasm	578	1.3e-05
GO:0098978	glutamatergic synapse	207	1.7e-05
GO:0009897	external side of plasma membrane	162	1.7e-05
GO:0005794	Golgi apparatus	1256	3.7e-05
GO:0005769	early endosome	316	6.4e-05
GO:0005856	cytoskeleton	1808	6.8e-05
GO:0031225	anchored component of membrane	83	8.0e-05
GO:0045095	keratin filament	19	0.00011
GO:0045121	membrane raft	229	0.00014
GO:0031012	extracellular matrix	289	0.00017
GO:0005576	extracellular region	2557	0.00022
GO:0031252	cell leading edge	345	0.00023
GO:0005922	connexin complex	9	0.00029
GO:0005925	focal adhesion	375	0.00053
GO:0005783	endoplasmic reticulum	1497	0.00055
GO:0016020	membrane	6231	0.00061
GO:0031410	cytoplasmic vesicle	1774	0.00080
GO:0005881	cytoplasmic microtubule	71	0.00096
GO:0000139	Golgi membrane	589	0.00104
GO:0032154	cleavage furrow	49	0.00112
GO:0005912	adherens junction	145	0.00152
GO:0014704	intercalated disc	33	0.00156
GO:0030864	cortical actin cytoskeleton	65	0.00161
GO:0005938	cell cortex	255	0.00163
GO:0008076	voltage-gated potassium channel complex	36	0.00178
GO:0030667	secretory granule membrane	210	0.00210
GO:0031258	lamellipodium membrane	19	0.00211
GO:1904724	tertiary granule lumen	40	0.00246
GO:0030672	synaptic vesicle membrane	60	0.00283
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	64	0.00284
GO:0101003	ficolin-1-rich granule membrane	35	0.00299
GO:0043195	terminal bouton	21	0.00314
GO:0002102	podosome	28	0.00420
GO:0005879	axonemal microtubule	9	0.00452
GO:0005604	basement membrane	70	0.00462
GO:0005834	heterotrimeric G-protein complex	18	0.00470
GO:0005788	endoplasmic reticulum lumen	210	0.00486
GO:0036020	endolysosome membrane	13	0.00496
GO:0031526	brush border membrane	36	0.00501
GO:0005770	late endosome	231	0.00507
GO:0005795	Golgi stack	119	0.00515
GO:0099061	integral component of postsynaptic density membrane	19	0.00547
GO:0005902	microvillus	62	0.00590
GO:0005923	bicellular tight junction	99	0.00597
GO:0005826	actomyosin contractile ring	4	0.00624
GO:0016328	lateral plasma membrane	59	0.00666
GO:0034774	secretory granule lumen	235	0.00746
GO:0060171	stereocilium membrane	5	0.00817
GO:0043235	receptor complex	210	0.00903
GO:0044214	spanning component of plasma membrane	8	0.00939
GO:0016234	inclusion body	63	0.00962
GO:0033268	node of Ranvier	9	0.01117
GO:0030133	transport vesicle	286	0.01131
GO:0055038	recycling endosome membrane	87	0.01142
GO:0005911	cell-cell junction	369	0.01222
GO:0015630	microtubule cytoskeleton	1134	0.01241
GO:0031528	microvillus membrane	21	0.01327
GO:0034666	integrin alpha2-beta1 complex	3	0.01368
GO:0009925	basal plasma membrane	176	0.01400
GO:0030659	cytoplasmic vesicle membrane	558	0.01411
GO:0043197	dendritic spine	110	0.01439
GO:0005862	muscle thin filament tropomyosin	4	0.01463
GO:0035577	azurophil granule membrane	49	0.01519
GO:0005796	Golgi lumen	53	0.01527
GO:0030666	endocytic vesicle membrane	139	0.01554
GO:0005875	microtubule associated complex	129	0.01656
GO:0030285	integral component of synaptic vesicle membrane	13	0.01660
GO:0043005	neuron projection	842	0.01780
GO:0031514	motile cilium	166	0.01831
GO:0098591	external side of apical plasma membrane	3	0.02013
GO:0097457	hippocampal mossy fiber	3	0.02017
GO:0098826	endoplasmic reticulum tubular network membrane	5	0.02040
GO:0097356	perinucleolar compartment	4	0.02094
GO:1990907	beta-catenin-TCF complex	13	0.02102
GO:1904115	axon cytoplasm	52	0.02501
GO:0031233	intrinsic component of external side of plasma membrane	11	0.02524
GO:0009331	glycerol-3-phosphate dehydrogenase complex	3	0.02557
GO:0036186	early phagosome membrane	2	0.02576
GO:0005768	endosome	784	0.02643
GO:0042567	insulin-like growth factor ternary complex	2	0.02712
GO:1904813	ficolin-1-rich granule lumen	113	0.02733
GO:0036117	hyaluranon cable	2	0.02746
GO:0017146	NMDA selective glutamate receptor complex	4	0.02759
GO:1990666	PCSK9-LDLR complex	2	0.02836
GO:1902911	protein kinase complex	93	0.02957
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	115	0.02986
GO:0010008	endosome membrane	439	0.02995
GO:0099026	anchored component of presynaptic membrane	2	0.03006
GO:0030424	axon	421	0.03052
GO:0065010	extracellular membrane-bounded organelle	3	0.03078
GO:0031092	platelet alpha granule membrane	14	0.03082
GO:0009923	fatty acid elongase complex	2	0.03147
GO:0035354	Toll-like receptor 1-Toll-like receptor 2 protein complex	2	0.03158
GO:0034706	sodium channel complex	10	0.03195
GO:0005764	lysosome	575	0.03243
GO:0030426	growth cone	132	0.03327
GO:0043025	neuronal cell body	291	0.03379
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex	8	0.03395
GO:0005802	trans-Golgi network	228	0.03596
GO:0042734	presynaptic membrane	74	0.03613
GO:0030665	clathrin-coated vesicle membrane	83	0.03668
GO:0005956	protein kinase CK2 complex	3	0.03694
GO:0036126	sperm flagellum	92	0.03716
GO:0035866	alphav-beta3 integrin-PKCalpha complex	3	0.03755
GO:0035868	alphav-beta3 integrin-HMGB1 complex	3	0.03755
GO:1990531	phospholipid-translocating ATPase complex	7	0.03772
