GO.ID	Term	Annotated	Raw.P.Value
GO:0005886	plasma membrane	3115	2.2e-29
GO:0005887	integral component of plasma membrane	786	1.5e-26
GO:0005615	extracellular space	2123	1.9e-21
GO:0016324	apical plasma membrane	243	1.6e-14
GO:0070062	extracellular exosome	1638	1.4e-13
GO:0062023	collagen-containing extracellular matrix	228	1.5e-12
GO:0016021	integral component of membrane	3170	7.0e-12
GO:0009986	cell surface	467	7.7e-12
GO:0009897	external side of plasma membrane	162	2.2e-07
GO:0031012	extracellular matrix	289	6.4e-07
GO:0005576	extracellular region	2557	1.8e-06
GO:0045121	membrane raft	229	6.2e-06
GO:0005788	endoplasmic reticulum lumen	210	7.9e-06
GO:0005769	early endosome	316	1.4e-05
GO:0031225	anchored component of membrane	83	2.4e-05
GO:0016323	basolateral plasma membrane	155	3.7e-05
GO:0001533	cornified envelope	31	3.7e-05
GO:0005925	focal adhesion	375	5.1e-05
GO:0048471	perinuclear region of cytoplasm	578	6.1e-05
GO:0043209	myelin sheath	35	0.00013
GO:0005604	basement membrane	70	0.00018
GO:0005901	caveola	57	0.00020
GO:0043235	receptor complex	210	0.00033
GO:0016328	lateral plasma membrane	59	0.00037
GO:0072562	blood microparticle	50	0.00039
GO:0002102	podosome	28	0.00041
GO:0005796	Golgi lumen	53	0.00045
GO:0005923	bicellular tight junction	99	0.00049
GO:0005789	endoplasmic reticulum membrane	900	0.00058
GO:1904724	tertiary granule lumen	40	0.00059
GO:0055038	recycling endosome membrane	87	0.00068
GO:0097729	9+2 motile cilium	107	0.00081
GO:0043020	NADPH oxidase complex	7	0.00089
GO:0043005	neuron projection	842	0.00089
GO:0000139	Golgi membrane	589	0.00118
GO:0014704	intercalated disc	33	0.00129
GO:0009925	basal plasma membrane	176	0.00135
GO:0005737	cytoplasm	8976	0.00144
GO:0035577	azurophil granule membrane	49	0.00159
GO:0031410	cytoplasmic vesicle	1774	0.00218
GO:0034704	calcium channel complex	36	0.00239
