GO.ID	Term	Annotated	Raw.P.Value
GO:0005509	calcium ion binding	430	2.4e-07
GO:0045296	cadherin binding	314	3.7e-07
GO:0008017	microtubule binding	224	1.9e-06
GO:0051015	actin filament binding	156	2.3e-06
GO:0019901	protein kinase binding	551	1.3e-05
GO:0019003	GDP binding	59	1.7e-05
GO:0031995	insulin-like growth factor II binding	7	2.4e-05
GO:0005516	calmodulin binding	123	2.5e-05
GO:0015293	symporter activity	79	3.4e-05
GO:1990939	ATP-dependent microtubule motor activity	48	5.3e-05
GO:0001618	virus receptor activity	54	0.00010
GO:0004745	retinol dehydrogenase activity	9	0.00014
GO:0042802	identical protein binding	1583	0.00018
GO:0050661	NADP binding	45	0.00022
GO:0120020	cholesterol transfer activity	14	0.00032
GO:0031994	insulin-like growth factor I binding	11	0.00038
GO:0020037	heme binding	81	0.00046
GO:0106310	protein serine kinase activity	311	0.00064
GO:0106311	protein threonine kinase activity	311	0.00064
GO:0001730	2'-5'-oligoadenylate synthetase activity	4	0.00067
GO:0043621	protein self-association	43	0.00069
GO:0008574	ATP-dependent microtubule motor activity, plus-end-directed	13	0.00070
GO:0042803	protein homodimerization activity	533	0.00070
GO:0008092	cytoskeletal protein binding	761	0.00082
GO:0004867	serine-type endopeptidase inhibitor activity	48	0.00092
GO:0005078	MAP-kinase scaffold activity	11	0.00107
GO:0015485	cholesterol binding	37	0.00123
GO:0005200	structural constituent of cytoskeleton	67	0.00135
GO:0008569	ATP-dependent microtubule motor activity, minus-end-directed	15	0.00140
GO:0043531	ADP binding	28	0.00149
GO:0008201	heparin binding	92	0.00149
GO:0000146	microfilament motor activity	15	0.00169
GO:0019894	kinesin binding	35	0.00206
GO:0048306	calcium-dependent protein binding	56	0.00236
GO:0004252	serine-type endopeptidase activity	83	0.00282
GO:0016175	superoxide-generating NAD(P)H oxidase activity	6	0.00298
GO:0004032	alditol:NADP+ 1-oxidoreductase activity	7	0.00307
GO:0005125	cytokine activity	93	0.00317
GO:0050544	arachidonic acid binding	4	0.00336
GO:0047023	androsterone dehydrogenase activity	4	0.00346
GO:0047044	androstan-3-alpha,17-beta-diol dehydrogenase activity	5	0.00355
GO:0050501	hyaluronan synthase activity	3	0.00365
GO:0008009	chemokine activity	18	0.00377
GO:0005506	iron ion binding	96	0.00381
GO:0008028	monocarboxylic acid transmembrane transporter activity	41	0.00385
GO:0005315	inorganic phosphate transmembrane transporter activity	4	0.00404
GO:0018636	phenanthrene 9,10-monooxygenase activity	3	0.00440
GO:0047086	ketosteroid monooxygenase activity	3	0.00440
GO:0047024	5alpha-androstane-3beta,17beta-diol dehydrogenase activity	3	0.00440
