GO.ID	Term	Annotated	Raw.P.Value
GO:0020037	heme binding	81	5.0e-07
GO:0005125	cytokine activity	93	2.9e-06
GO:0005509	calcium ion binding	430	4.7e-06
GO:0004867	serine-type endopeptidase inhibitor activity	48	6.0e-06
GO:0031995	insulin-like growth factor II binding	7	2.8e-05
GO:0031994	insulin-like growth factor I binding	11	3.7e-05
GO:0008083	growth factor activity	77	6.4e-05
GO:0050661	NADP binding	45	0.00010
GO:0051015	actin filament binding	156	0.00011
GO:0008201	heparin binding	92	0.00012
GO:0001968	fibronectin binding	21	0.00015
GO:0030020	extracellular matrix structural constituent conferring tensile strength	20	0.00015
GO:0015293	symporter activity	79	0.00019
GO:0004698	calcium-dependent protein kinase C activity	15	0.00024
GO:0005201	extracellular matrix structural constituent	94	0.00026
GO:0048306	calcium-dependent protein binding	56	0.00047
GO:0005516	calmodulin binding	123	0.00055
GO:0042803	protein homodimerization activity	533	0.00059
GO:0005102	signaling receptor binding	949	0.00063
GO:0015026	coreceptor activity	26	0.00063
GO:0005178	integrin binding	103	0.00067
GO:0002020	protease binding	111	0.00077
GO:0005085	guanyl-nucleotide exchange factor activity	187	0.00079
GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating	10	0.00082
GO:0050135	NAD(P)+ nucleosidase activity	10	0.00082
GO:0004252	serine-type endopeptidase activity	83	0.00103
GO:0004745	retinol dehydrogenase activity	9	0.00130
GO:0001972	retinoic acid binding	10	0.00194
GO:0045499	chemorepellent activity	22	0.00224
GO:0005536	glucose binding	8	0.00233
GO:0019834	phospholipase A2 inhibitor activity	5	0.00237
GO:0047044	androstan-3-alpha,17-beta-diol dehydrogenase activity	5	0.00325
GO:0004923	leukemia inhibitory factor receptor activity	4	0.00352
GO:0004924	oncostatin-M receptor activity	4	0.00352
GO:0004499	N,N-dimethylaniline monooxygenase activity	4	0.00361
GO:0001965	G-protein alpha-subunit binding	22	0.00362
GO:0052851	ferric-chelate reductase (NADPH) activity	3	0.00365
GO:0008823	cupric reductase activity	3	0.00365
GO:0008569	ATP-dependent microtubule motor activity, minus-end-directed	15	0.00372
GO:0005315	inorganic phosphate transmembrane transporter activity	4	0.00385
GO:0047023	androsterone dehydrogenase activity	4	0.00411
GO:0018636	phenanthrene 9,10-monooxygenase activity	3	0.00411
GO:0047086	ketosteroid monooxygenase activity	3	0.00411
GO:0047024	5alpha-androstane-3beta,17beta-diol dehydrogenase activity	3	0.00411
GO:0008092	cytoskeletal protein binding	761	0.00424
GO:0032052	bile acid binding	7	0.00425
GO:0000254	C-4 methylsterol oxidase activity	3	0.00430
GO:0004862	cAMP-dependent protein kinase inhibitor activity	8	0.00450
GO:0019966	interleukin-1 binding	6	0.00460
GO:0008109	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity	3	0.00484
GO:0017159	pantetheine hydrolase activity	3	0.00487
GO:0003829	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity	3	0.00495
GO:0017147	Wnt-protein binding	19	0.00496
GO:0055056	D-glucose transmembrane transporter activity	6	0.00496
GO:0004957	prostaglandin E receptor activity	3	0.00504
GO:0005506	iron ion binding	96	0.00579
GO:0000146	microfilament motor activity	15	0.00615
GO:0008028	monocarboxylic acid transmembrane transporter activity	41	0.00637
GO:0044325	ion channel binding	90	0.00672
GO:0004869	cysteine-type endopeptidase inhibitor activity	30	0.00676
GO:0003779	actin binding	324	0.00692
GO:0005543	phospholipid binding	349	0.00784
GO:0001618	virus receptor activity	54	0.00793
