GO.ID	Term	Annotated	Raw.P.Value
GO:0045296	cadherin binding	314	2.6e-08
GO:0005125	cytokine activity	93	5.5e-07
GO:1990939	ATP-dependent microtubule motor activity	48	1.9e-06
GO:0005509	calcium ion binding	430	2.3e-06
GO:0008017	microtubule binding	224	2.8e-06
GO:0001618	virus receptor activity	54	5.5e-06
GO:0019825	oxygen binding	14	1.0e-05
GO:0008009	chemokine activity	18	1.4e-05
GO:0005178	integrin binding	103	2.0e-05
GO:0008569	ATP-dependent microtubule motor activity, minus-end-directed	15	3.5e-05
GO:0019901	protein kinase binding	551	4.6e-05
GO:0000146	microfilament motor activity	15	5.7e-05
GO:0003779	actin binding	324	7.7e-05
GO:0008330	protein tyrosine/threonine phosphatase activity	8	0.00016
GO:0045505	dynein intermediate chain binding	33	0.00022
GO:0019003	GDP binding	59	0.00023
GO:0008035	high-density lipoprotein particle binding	7	0.00028
GO:0004745	retinol dehydrogenase activity	9	0.00035
GO:0001730	2'-5'-oligoadenylate synthetase activity	4	0.00042
GO:0005254	chloride channel activity	37	0.00042
GO:0030169	low-density lipoprotein particle binding	9	0.00046
GO:0051959	dynein light intermediate chain binding	26	0.00061
GO:0043531	ADP binding	28	0.00062
GO:1990948	ubiquitin ligase inhibitor activity	9	0.00068
GO:0001758	retinal dehydrogenase activity	5	0.00073
GO:0004867	serine-type endopeptidase inhibitor activity	48	0.00075
GO:0051015	actin filament binding	156	0.00078
GO:0005524	ATP binding	1199	0.00087
GO:0042802	identical protein binding	1583	0.00095
GO:0005198	structural molecule activity	475	0.00106
GO:0043014	alpha-tubulin binding	36	0.00129
GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	10	0.00170
GO:0042803	protein homodimerization activity	533	0.00233
GO:0034186	apolipoprotein A-I binding	5	0.00292
GO:0045504	dynein heavy chain binding	12	0.00330
GO:0004465	lipoprotein lipase activity	4	0.00336
GO:0120020	cholesterol transfer activity	14	0.00345
GO:0004032	alditol:NADP+ 1-oxidoreductase activity	7	0.00348
GO:0005200	structural constituent of cytoskeleton	67	0.00366
GO:0042805	actinin binding	21	0.00382
GO:0005078	MAP-kinase scaffold activity	11	0.00386
GO:0004415	hyalurononglucosaminidase activity	6	0.00387
GO:0005243	gap junction channel activity	10	0.00391
GO:0005044	scavenger receptor activity	23	0.00417
GO:0004860	protein kinase inhibitor activity	64	0.00428
GO:0018479	benzaldehyde dehydrogenase (NAD+) activity	3	0.00460
GO:0004028	3-chloroallyl aldehyde dehydrogenase activity	3	0.00460
GO:0031625	ubiquitin protein ligase binding	266	0.00467
GO:0031683	G-protein beta/gamma-subunit complex binding	15	0.00469
GO:0045236	CXCR chemokine receptor binding	11	0.00470
GO:0009922	fatty acid elongase activity	5	0.00540
GO:0102756	very-long-chain 3-ketoacyl-CoA synthase activity	5	0.00540
GO:0106310	protein serine kinase activity	311	0.00551
GO:0106311	protein threonine kinase activity	311	0.00551
GO:0005516	calmodulin binding	123	0.00576
GO:0019894	kinesin binding	35	0.00612
GO:0070700	BMP receptor binding	9	0.00623
GO:0001530	lipopolysaccharide binding	20	0.00649
GO:0055106	ubiquitin-protein transferase regulator activity	22	0.00692
GO:0042605	peptide antigen binding	19	0.00699
GO:0046978	TAP1 binding	5	0.00705
GO:0031731	CCR6 chemokine receptor binding	3	0.00712
GO:0043621	protein self-association	43	0.00716
GO:0046979	TAP2 binding	3	0.00743
GO:0048306	calcium-dependent protein binding	56	0.00777
GO:0043236	laminin binding	20	0.00861
GO:0046977	TAP binding	8	0.00883
GO:0035325	Toll-like receptor binding	12	0.00884
GO:0050661	NADP binding	45	0.00895
GO:0020037	heme binding	81	0.00895
GO:0031730	CCR5 chemokine receptor binding	4	0.00901
GO:0005242	inward rectifier potassium channel activity	9	0.00925
GO:0042288	MHC class I protein binding	13	0.00925
GO:0070300	phosphatidic acid binding	18	0.00927
GO:0004252	serine-type endopeptidase activity	83	0.01062
GO:0001784	phosphotyrosine residue binding	34	0.01092
GO:0098641	cadherin binding involved in cell-cell adhesion	17	0.01141
GO:0034452	dynactin binding	10	0.01207
GO:0005315	inorganic phosphate transmembrane transporter activity	4	0.01279
GO:0052689	carboxylic ester hydrolase activity	93	0.01298
GO:0003829	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity	3	0.01321
GO:0050786	RAGE receptor binding	8	0.01346
GO:0043225	ATPase-coupled inorganic anion transmembrane transporter activity	9	0.01359
GO:0004857	enzyme inhibitor activity	259	0.01382
