Pathway Code	Pathway Name	P-Value	Annotated
hsa04020	Calcium signaling pathway - Homo sapiens (human)	1.60587990757204e-08	129
hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	2.54033579226531e-08	381
hsa04970	Salivary secretion - Homo sapiens (human)	3.09565986084265e-07	55
hsa05146	Amoebiasis - Homo sapiens (human)	4.19714543090439e-07	74
hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	4.69351977881103e-07	198
hsa00100	Steroid biosynthesis - Homo sapiens (human)	2.03192425682603e-06	18
hsa04972	Pancreatic secretion - Homo sapiens (human)	1.91953327863127e-06	52
hsa04024	cAMP signaling pathway - Homo sapiens (human)	3.29209934718643e-06	122
hsa04015	Rap1 signaling pathway - Homo sapiens (human)	5.15596951747916e-06	160
hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)	4.7845517160078e-06	102
hsa05010	Alzheimer disease - Homo sapiens (human)	7.02678766682371e-06	310
hsa04978	Mineral absorption - Homo sapiens (human)	1.05464379773309e-05	37
hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	3.00153877991467e-05	47
hsa04010	MAPK signaling pathway - Homo sapiens (human)	2.68326177760863e-05	222
hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	3.16909975562938e-05	84
hsa05200	Pathways in cancer - Homo sapiens (human)	2.88307437660444e-05	390
hsa04979	Cholesterol metabolism - Homo sapiens (human)	3.73801396522019e-05	30
hsa05417	Lipid and atherosclerosis - Homo sapiens (human)	4.12314503995322e-05	166
hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	5.09121436658795e-05	89
hsa04976	Bile secretion - Homo sapiens (human)	5.51225150908725e-05	38
hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	6.23202735775261e-05	70
hsa04916	Melanogenesis - Homo sapiens (human)	6.53054352168637e-05	70
hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)	7.93602229507428e-05	78
