Pathway Code	Pathway Name	P-Value	Annotated
hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	1.10790324824342e-16	123
hsa05415	Diabetic cardiomyopathy - Homo sapiens (human)	3.22105353541869e-10	168
hsa00100	Steroid biosynthesis - Homo sapiens (human)	3.4075400959463e-09	18
hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	4.84120844155128e-09	228
hsa05164	Influenza A - Homo sapiens (human)	4.01637680667012e-09	130
hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	1.08720787951988e-08	35
hsa05200	Pathways in cancer - Homo sapiens (human)	1.17421367479118e-08	390
hsa05417	Lipid and atherosclerosis - Homo sapiens (human)	1.69943590729248e-08	166
hsa05146	Amoebiasis - Homo sapiens (human)	4.45615968397084e-08	74
hsa04512	ECM-receptor interaction - Homo sapiens (human)	9.61697662654293e-08	50
hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	1.11330396534714e-07	198
hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	1.35409610429386e-07	34
hsa05165	Human papillomavirus infection - Homo sapiens (human)	1.27600391842596e-07	255
hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)	1.69605750303576e-07	135
hsa05152	Tuberculosis - Homo sapiens (human)	2.03661578862567e-07	126
hsa04668	TNF signaling pathway - Homo sapiens (human)	3.8912674840823e-07	99
hsa05205	Proteoglycans in cancer - Homo sapiens (human)	3.79021007182988e-07	164
hsa04260	Cardiac muscle contraction - Homo sapiens (human)	6.55503597944409e-07	48
hsa04974	Protein digestion and absorption - Homo sapiens (human)	7.1687601773069e-07	44
hsa04115	p53 signaling pathway - Homo sapiens (human)	7.7195024758714e-07	69
hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	1.08866388110118e-06	130
hsa04020	Calcium signaling pathway - Homo sapiens (human)	1.25891633501576e-06	129
hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	1.64152108370801e-06	381
hsa00190	Oxidative phosphorylation - Homo sapiens (human)	2.69170666369513e-06	119
hsa04640	Hematopoietic cell lineage - Homo sapiens (human)	2.7939389119767e-06	43
hsa04970	Salivary secretion - Homo sapiens (human)	3.05132478215651e-06	55
hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	4.15486718581849e-06	145
hsa00330	Arginine and proline metabolism - Homo sapiens (human)	4.32181773082011e-06	37
