Pathway Code	Pathway Name	P-Value	Annotated
hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	5.40576309631072e-12	123
hsa05164	Influenza A - Homo sapiens (human)	6.35542636949396e-09	130
hsa04668	TNF signaling pathway - Homo sapiens (human)	5.83502270924012e-08	99
hsa05417	Lipid and atherosclerosis - Homo sapiens (human)	4.99880118543344e-08	166
hsa00100	Steroid biosynthesis - Homo sapiens (human)	1.32954735286319e-07	18
hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	2.0569016639264e-07	84
hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	2.02337566575405e-07	130
hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	6.92512059931955e-07	35
hsa04210	Apoptosis - Homo sapiens (human)	9.84407990222862e-07	114
hsa04217	Necroptosis - Homo sapiens (human)	5.89470003691202e-06	118
hsa04010	MAPK signaling pathway - Homo sapiens (human)	7.04208515459309e-06	222
hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	9.0019416383999e-06	145
hsa05162	Measles - Homo sapiens (human)	1.43020090606057e-05	105
hsa05140	Leishmaniasis - Homo sapiens (human)	1.85614435496424e-05	56
hsa05412	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)	1.73441298439955e-05	44
hsa05200	Pathways in cancer - Homo sapiens (human)	2.04136570122668e-05	390
hsa04115	p53 signaling pathway - Homo sapiens (human)	3.09079992308601e-05	69
hsa04657	IL-17 signaling pathway - Homo sapiens (human)	3.37149606865541e-05	70
hsa05171	Coronavirus disease - COVID-19 - Homo sapiens (human)	4.07715576675065e-05	175
hsa04640	Hematopoietic cell lineage - Homo sapiens (human)	5.81967580464042e-05	43
hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	7.32756104160951e-05	228
hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)	7.44236566302102e-05	132
hsa05145	Toxoplasmosis - Homo sapiens (human)	8.80946792269753e-05	91
hsa05160	Hepatitis C - Homo sapiens (human)	8.74922731805248e-05	125
hsa05169	Epstein-Barr virus infection - Homo sapiens (human)	0.000122287182874796	164
hsa04514	Cell adhesion molecules - Homo sapiens (human)	0.00013804688208175	92
hsa05410	Hypertrophic cardiomyopathy - Homo sapiens (human)	0.000149059094994842	46
hsa04380	Osteoclast differentiation - Homo sapiens (human)	0.000170136966876768	89
hsa05132	Salmonella infection - Homo sapiens (human)	0.000251414662855556	214
hsa04218	Cellular senescence - Homo sapiens (human)	0.000316199106672046	139
hsa05163	Human cytomegalovirus infection - Homo sapiens (human)	0.000308520264171951	165
hsa04630	JAK-STAT signaling pathway - Homo sapiens (human)	0.00035311733722342	93
hsa02010	ABC transporters - Homo sapiens (human)	0.000428871498766761	33
hsa04216	Ferroptosis - Homo sapiens (human)	0.000431774532164837	36
hsa04612	Antigen processing and presentation - Homo sapiens (human)	0.000518703840560203	50
hsa05134	Legionellosis - Homo sapiens (human)	0.000521289520269622	50
hsa05146	Amoebiasis - Homo sapiens (human)	0.000525796205883105	74
hsa05205	Proteoglycans in cancer - Homo sapiens (human)	0.000494587103711526	164
hsa05219	Bladder cancer - Homo sapiens (human)	0.000473300286829951	38
hsa05161	Hepatitis B - Homo sapiens (human)	0.000707580507517541	134
hsa05321	Inflammatory bowel disease - Homo sapiens (human)	0.000698166984486993	40
hsa04360	Axon guidance - Homo sapiens (human)	0.00075102435848401	144
hsa05133	Pertussis - Homo sapiens (human)	0.000813874960105488	58
hsa04940	Type I diabetes mellitus - Homo sapiens (human)	0.00087471255122186	26
hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)	0.000914717026862689	157
hsa05418	Fluid shear stress and atherosclerosis - Homo sapiens (human)	0.000949026066106281	116
hsa00071	Fatty acid degradation - Homo sapiens (human)	0.00103000244448169	36
hsa05332	Graft-versus-host disease - Homo sapiens (human)	0.00103666069093362	20
hsa05210	Colorectal cancer - Homo sapiens (human)	0.0011725106208405	82
hsa05323	Rheumatoid arthritis - Homo sapiens (human)	0.00125731998893568	64
hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	0.00129126687814864	37
hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)	0.00149433558708187	71
hsa05142	Chagas disease - Homo sapiens (human)	0.001742569478432	77
hsa04512	ECM-receptor interaction - Homo sapiens (human)	0.00183935534788046	50
hsa00480	Glutathione metabolism - Homo sapiens (human)	0.00189559958136486	46
hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)	0.0022506558543327	141
hsa05414	Dilated cardiomyopathy - Homo sapiens (human)	0.00225309055440341	48
