Pathway Code	Pathway Name	P-Value	Annotated
hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	1.79970832233303e-10	123
hsa00100	Steroid biosynthesis - Homo sapiens (human)	1.20222449255154e-07	18
hsa05200	Pathways in cancer - Homo sapiens (human)	9.0279050979218e-08	390
hsa04970	Salivary secretion - Homo sapiens (human)	2.05966956469308e-07	55
hsa04974	Protein digestion and absorption - Homo sapiens (human)	2.45603195176803e-07	44
hsa04610	Complement and coagulation cascades - Homo sapiens (human)	5.12908117736109e-07	40
hsa05146	Amoebiasis - Homo sapiens (human)	5.56809764705588e-07	74
hsa04640	Hematopoietic cell lineage - Homo sapiens (human)	7.59771978163244e-07	43
hsa04020	Calcium signaling pathway - Homo sapiens (human)	1.11485383661285e-06	129
hsa04310	Wnt signaling pathway - Homo sapiens (human)	3.2320224074382e-06	125
hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	8.84880589495129e-06	23
hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)	8.98231549395965e-06	78
hsa03320	PPAR signaling pathway - Homo sapiens (human)	1.03587745531766e-05	48
hsa04514	Cell adhesion molecules - Homo sapiens (human)	2.59042085256681e-05	92
hsa04978	Mineral absorption - Homo sapiens (human)	2.88696256942203e-05	37
hsa04015	Rap1 signaling pathway - Homo sapiens (human)	3.34187468464602e-05	160
hsa04916	Melanogenesis - Homo sapiens (human)	3.17215573049025e-05	70
hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	4.39164374865897e-05	381
hsa05217	Basal cell carcinoma - Homo sapiens (human)	4.75804667400696e-05	46
hsa05321	Inflammatory bowel disease - Homo sapiens (human)	5.48103090826201e-05	40
hsa04972	Pancreatic secretion - Homo sapiens (human)	5.81498766848983e-05	52
hsa05140	Leishmaniasis - Homo sapiens (human)	6.97766796547292e-05	56
hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	7.73870898815527e-05	35
hsa05415	Diabetic cardiomyopathy - Homo sapiens (human)	8.03866360017982e-05	168
hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	8.70860056823915e-05	36
hsa05323	Rheumatoid arthritis - Homo sapiens (human)	8.62549719491074e-05	64
hsa04010	MAPK signaling pathway - Homo sapiens (human)	9.27354115072732e-05	222
hsa04976	Bile secretion - Homo sapiens (human)	9.64922005045008e-05	38
hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	0.000148416842706522	228
hsa04216	Ferroptosis - Homo sapiens (human)	0.000149042292202614	36
hsa05143	African trypanosomiasis - Homo sapiens (human)	0.000140757241277209	21
hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	0.000199010778519828	102
hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	0.000193464831219195	70
hsa04918	Thyroid hormone synthesis - Homo sapiens (human)	0.000204718498175723	50
hsa05144	Malaria - Homo sapiens (human)	0.000220328257772471	29
hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)	0.000239681273284709	25
hsa04024	cAMP signaling pathway - Homo sapiens (human)	0.000300783108783757	122
hsa05226	Gastric cancer - Homo sapiens (human)	0.00036416249832297	104
hsa05418	Fluid shear stress and atherosclerosis - Homo sapiens (human)	0.000354929758572199	116
hsa04924	Renin secretion - Homo sapiens (human)	0.000382436071286723	45
hsa00340	Histidine metabolism - Homo sapiens (human)	0.000442993434178384	14
hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	0.000470978047732587	34
hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)	0.000462221090011331	82
hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	0.000450976146031598	82
hsa04971	Gastric acid secretion - Homo sapiens (human)	0.000441878847160751	48
hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	0.000473088410621653	198
hsa05010	Alzheimer disease - Homo sapiens (human)	0.000486789373314133	310
hsa00360	Phenylalanine metabolism - Homo sapiens (human)	0.000617716917818551	10
hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	0.000636560450215484	37
hsa04713	Circadian entrainment - Homo sapiens (human)	0.000632664646073525	52
hsa05150	Staphylococcus aureus infection - Homo sapiens (human)	0.000763610816134506	39
hsa04724	Glutamatergic synapse - Homo sapiens (human)	0.000906885068630149	61
hsa05205	Proteoglycans in cancer - Homo sapiens (human)	0.000974464044624347	164
hsa04390	Hippo signaling pathway - Homo sapiens (human)	0.00100240743186152	127
hsa00071	Fatty acid degradation - Homo sapiens (human)	0.00134074744659055	36
hsa05417	Lipid and atherosclerosis - Homo sapiens (human)	0.00136109028484329	166
