NT_1	NT_2	NT_3	Pit_1	Pit_2	Pit_3	T2_1	T2_2	T2_3	T2wPit_1	T2wPit_2	T2WPit_3
ENSG00000279457.4	0.450226782557772	0.448507830790555	0.117153440271461	0.304346903990867	0.767828691147588	0.562915313802461	0.551076955423679	0.459196897468154	0.630776753155347	0.987637056073631	1.1890907641263	0.189773899653533
ENSG00000225630.1	5.08441372879376	5.27066571856454	5.19391958373448	5.14366087088821	5.10701796522229	5.17236603339762	5.18313690104976	5.14245829136047	5.45865358438245	4.87876412508468	5.23975549004122	5.39825869776151
ENSG00000237973.1	7.20619168943118	7.38643570085204	7.24182067836994	7.22745700886784	7.14968433687175	7.24109723917916	7.2058229214817	7.22235538411428	7.47011340949773	7.06089921154202	7.43200171744716	7.48484810255539
ENSG00000248527.1	7.08471993623545	7.14629387731353	7.00848300162561	7.05842844101769	6.99277347540194	7.13806516772152	7.15525752218767	7.11145842899961	7.23497656246637	6.98824002590809	7.16388608749535	7.23826389459207
ENSG00000228327.4	2.04193336933021	1.0856959641534	1.86838855689351	1.29813443276502	1.78658545285193	1.47542609603413	1.83333404690474	1.61168230277391	1.35411596304908	2.23160710957264	1.92012200065483	1.71760325267038
ENSG00000228794.11	2.87347944363753	2.99422869712641	3.00708656468554	3.19403331950887	3.10751666501543	3.13361715623977	2.95613693743973	3.06007804453692	2.92532214889276	3.01589204633386	3.12086979458598	3.36049148660219
ENSG00000188976.11	5.0687276440418	5.14829649091563	4.89794422558404	5.00386723844133	5.02229305379082	5.02614553842362	4.92020119685665	4.99088075523161	5.03143667689635	4.94380920508659	4.84088110625895	5.10598816379246
ENSG00000187961.15	2.40881511008587	1.81954069647054	2.43027061690841	2.22118173839865	1.98535249107271	2.33339369049311	2.37232921658358	2.14311103711799	2.16374952261687	2.23160710957264	2.22873466114683	2.29281965516756
ENSG00000187583.11	2.38367836047952	2.56346422530451	2.26615043449082	3.04507206882513	3.24680503575425	3.23029256176474	2.50131537840555	2.46936621478091	2.40749166687297	3.50206278967195	3.42022225438601	3.43402544355509
ENSG00000188290.11	3.809840874296	3.59474857608944	3.52566713243214	3.62465099120696	3.85231912195186	3.72333000902653	3.54032907108475	3.5188622081211	3.58436169222022	3.69913277461176	3.76698661357327	3.73102469266985
ENSG00000187608.10	4.30762862408538	4.1465599938653	4.4286125622913	6.0787179905731	6.00377224179509	6.0845761650672	4.50920104722063	4.17853546623039	4.2860848194296	6.10367567871267	5.89115901927896	6.04482182255945
ENSG00000188157.15	8.05373236357151	8.36499245732659	8.26836762171173	8.35479751613847	8.35179916016484	8.45446431050692	8.14987502990385	8.16146306298656	8.04036288323401	8.34922131866505	8.40205827641948	8.49750178155241
ENSG00000237330.3	0.867797010019217	1.0856959641534	0.501590698024893	1.14682293645661	1.23752148921818	1.56288717883279	1.86564370840787	1.57338320656495	1.79608814423577	1.80343746022931	1.3107383994175	1.66969812164773
